review_text,rating,restaurant,area,date,likes,label,predicted_label,predicted_sentiment,prob_負面,prob_中性,prob_正面,parsed_date,week,year,week_start,year_week
到店時你們的服務生說裡面full house了，剩下外面的位置然後我就說ok，但是有跟你們店員說如果裡面有位的話我要換去裡面，因為外面實在太熱了，你的服務員也說可以然後幫我寫裡面的拿號，我完了都沒有幫我換到裡面，我身邊幾桌都被換去裡面，就連新來的顧客都換去裡面了，我進去結帳時發現裡面有幾張空桌子我直接？ ？ 還有我坐在外面好像是髮配到邊疆這樣，那個桌上的鈴按2-3次才有人過來，體驗感真的很差，沒有下次了🙂,2,Unknown Restaurant,,1 週前,0,0,2,正面,0.46840781585435054,0.19656131537579746,0.33503086876985194,2026-03-08 13:20:46.451662,10,2026,03/02,2026-W10
這家咖啡館服務最差、效率最低，透過GrabFood訂餐竟然等了兩個小時都沒做好。問店員，他們都不知道。最好的結果也只是讓外送員白等幾個小時而已。,1,Unknown Restaurant,,上次編輯：2 週前,0,0,2,正面,0.20058640062134261,0.07955906262820708,0.7198545367504502,2026-03-01 13:20:46.451662,9,2026,02/23,2026-W09
這裡乾淨整潔，環境優美，氛圍極佳！食物雖然價格偏高，但味道真的非常棒。菜單設計精美，選擇豐富，素食選擇也很多。我很喜歡這種理念！,5,Unknown Restaurant,,3 週前,0,2,2,正面,0.024357207655428217,0.05280973828216337,0.9228330540624082,2026-02-22 13:20:46.451662,8,2026,02/16,2026-W08
服務好，食物美味。還會再點。,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.03401801885362247,0.08745245679240234,0.8785295243539754,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
環境舒服！食物很有特色，都那種結合了馬來西亞傳統特色，西式以及中式的料理！飲料也好喝！特別推薦榴槤布蕾，濃鬱的榴槤和奶香結合得好好吃！,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.015612242947583137,0.11416096063442739,0.8702267964179896,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
味道好極了，服務也非常好，員工都很友善。我一定會帶朋友和家人再來光顧的❤️❤️❤️❤️,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.045827805486379304,0.032803918702296465,0.9213682758113241,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
喬治城最好的咖啡館之一！我和同事在這裡吃了午餐，芝麻油雞肉意麵真是太棒了！我的同事點了椰漿飯，味道也超讚。這裡的咖啡也很棒，我一定會再來的。,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.019614875787211068,0.060234602577235584,0.9201505216355536,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
我們等了50分鐘才吃到飯，因為上菜速度比較慢。尤其是煮雞蛋，等了很久才上，最後才送到。,1,Unknown Restaurant,,1 個月前,0,0,2,正面,0.18243213000052552,0.1838704661797672,0.6336974038197073,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
"食物還可以。別點「本地風味」套餐。

上菜花了40分鐘。雖然周圍人不多，但服務很慢。",3,Unknown Restaurant,,1 個月前,0,1,2,正面,0.1401401495594365,0.09040189704578522,0.7694579533947784,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
我們之前來過這家店，感覺不錯。但今天上菜等了50分鐘，服務極為緩慢，令人失望。,1,Unknown Restaurant,,1 個月前,0,0,2,正面,0.4042287008035307,0.3203345983456553,0.2754367008508137,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
